"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.90966069614938,0.894,0.309,0,"0","GPNMB"
0,1.62047653581075,0.842,0.286,0,"0","ADAMDEC1"
0,1.79897997330244,0.828,0.308,0,"0","C1QB"
0,1.53290922664434,0.918,0.399,0,"0","CD68"
0,1.98785890629153,0.809,0.293,0,"0","C1QA"
0,2.07896345466798,0.734,0.23,0,"0","C1QC"
0,1.59098416006369,0.8,0.299,0,"0","LGMN"
0,1.59733978148497,0.745,0.279,0,"0","LOC102130734"
0,1.91600446235592,0.681,0.226,0,"0","APOC1"
0,1.91479437345181,0.994,0.609,0,"0","APOE"
0,1.07292615692667,0.997,0.725,0,"0","LOC102144039"
0,1.2879840757694,0.996,0.741,0,"0","CTSB"
0,1.24273109009223,0.999,0.764,0,"0","PSAP"
0,1.03513408776515,1,0.799,0,"0","CD74"
1.50925474806098e-303,1.58291235975663,0.781,0.316,3.74597028468736e-299,"0","DNASE2"
4.94393030451898e-303,1.48853021644455,0.877,0.45,1.22708350158161e-298,"0","GPX1"
1.6197236360689e-302,1.17858682740774,0.95,0.586,4.02015406472301e-298,"0","GRN"
4.87232964561984e-295,1.55766957044593,0.864,0.478,1.20931221804285e-290,"0","LGALS3"
2.89451606604014e-289,1.50769056851826,0.802,0.361,7.18418887591163e-285,"0","LIPA"
3.21550517439999e-289,1.03480175924448,0.996,0.644,7.98088384286077e-285,"0","LYZ"
6.70453364490529e-287,1.27427189992854,0.961,0.596,1.66406525066549e-282,"0","CD63"
8.59049348961037e-286,1.63360748571097,0.729,0.278,2.13216048412129e-281,"0","CPM"
1.77965923128303e-280,1.66296864192703,0.715,0.28,4.41711421204449e-276,"0","LOC102129822"
7.88536015978283e-263,1.18996115825509,0.908,0.525,1.9571463916581e-258,"0","FTL"
1.63649588627972e-256,0.979106280427064,0.971,0.633,4.06178278974627e-252,"0","LOC102136862"
1.8117875241575e-255,1.56249336181362,0.718,0.312,4.49685663495892e-251,"0","PLXDC2"
3.78471163152063e-246,1.37908896293484,0.763,0.344,9.39365426943421e-242,"0","CD93"
7.19906115405967e-237,1.27153425237487,0.804,0.401,1.78680697843761e-232,"0","CTSC"
1.27817617408825e-231,1.7187399442538,0.635,0.263,3.17243326408703e-227,"0","FMNL2"
2.11204882452155e-231,1.08615661325225,0.867,0.457,5.2421051824625e-227,"0","MPEG1"
