"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","CD74",1.00561034181648e-248,3.70846312385571,0.998,0.494,2.49592486838849e-244
"2","LOC102144039",5.23187149017593e-246,3.73443828741035,0.994,0.378,1.29855050386167e-241
"3","LOC102136862",8.73513629971978e-226,4.05801302518442,0.968,0.14,2.16806082959045e-221
"4","LYZ",1.8369686952964e-218,3.39872206628679,0.98,0.38,4.55935630172568e-214
"5","PSAP",1.53211708049602e-207,2.49362031511626,0.988,0.648,3.80271459379113e-203
"6","VIM",1.36660715628296e-206,2.81316276923164,0.981,0.359,3.3919189618943e-202
"7","LOC102146914",4.45437991181472e-206,-5.43231599943231,0.22,0.744,1.10557709411241e-201
"8","LOC102147203",1.5506249089782e-198,-2.57519977859811,0.841,0.984,3.8486510240839e-194
"9","LOC102136468",9.58750041379005e-196,3.5809888094166,0.936,0.146,2.37961760270269e-191
"10","IFIT3",5.90936245182514e-195,-4.68306093212029,0.382,0.851,1.466703760543e-190
"11","NFKBIA",8.36469092876253e-188,-2.51888743950161,0.874,0.979,2.07611628851886e-183
"12","IFITM1",6.56363693081682e-187,-4.27763699618262,0.201,0.698,1.62909468622873e-182
"13","CSF3R",1.45839550105455e-170,-3.69287403148321,0.428,0.826,3.6197376336174e-166
"14","CST3",2.77370813269956e-169,4.00762546831702,0.862,0.092,6.88434358536031e-165
"15","LOC102138874",5.00006026930312e-166,-1.59197966324854,0.953,0.982,1.24101495884103e-161
"16","PLEK",1.07578070815935e-161,-3.65081150533498,0.697,0.915,2.67008771765151e-157
"17","SOD2",8.03761838470456e-161,-2.45210234346316,0.92,0.977,1.99493688308367e-156
"18","CTSB",1.61641876849149e-157,2.74347587649153,0.962,0.531,4.01195138339588e-153
"19","ANXA2",1.55774381629495e-145,2.81055455588909,0.861,0.153,3.86632015204408e-141
"20","LOC102139994",5.9253977487659e-145,3.72965697733636,0.793,0.057,1.4706837212437e-140
"21","CSF1R",4.38158807277024e-144,3.98804369993736,0.781,0.055,1.08751015966157e-139
"22","LOC102140782",3.67203885682612e-135,3.5732141641358,0.771,0.073,9.11400044264243e-131
"23","CD68",1.85614810114368e-132,3.32289808348442,0.783,0.105,4.60695958703861e-128
"24","GBP2",7.21329651542697e-130,-3.09522916217058,0.493,0.794,1.79034019512897e-125
"25","PRDX1",2.17533439931459e-128,3.13773195150204,0.778,0.112,5.39917997909882e-124
"26","GPX1",7.6942963421066e-128,3.11031250179348,0.778,0.108,1.90972435211086e-123
"27","SELL",7.40018052427916e-127,-4.91933275152218,0.096,0.449,1.83672480612609e-122
"28","RPS14",2.10755751417494e-126,1.80579148851615,0.945,0.352,5.2309577501822e-122
"29","LOC102139186",4.61573899891629e-126,-5.31412834442395,0.03,0.277,1.14562641953102e-121
"30","RPLP0",5.09541732722988e-126,2.2492211999899,0.873,0.204,1.26468258061846e-121
"31","SRGN",5.26679078535691e-125,-1.64275503943221,0.918,0.959,1.30721747292559e-120
"32","CTSH",7.28928425670059e-123,2.10099168447275,0.903,0.318,1.80920035251309e-118
"33","TMSB10",1.59821832124992e-122,1.44153725750952,0.977,0.584,3.96677787334231e-118
"34","KLF4",1.96946766318479e-122,4.10745559874378,0.701,0.032,4.88821874002464e-118
"35","CPVL",4.92372696596599e-122,3.79136956541812,0.735,0.071,1.22206903295276e-117
"36","MPEG1",6.63128461016056e-122,2.39214957539282,0.852,0.195,1.64588484024185e-117
"37","IFIT2",9.83195214144009e-122,-4.43417210544971,0.38,0.735,2.44029052150543e-117
"38","VMO1",9.8729088015654e-122,3.0555060016683,0.775,0.103,2.45045596454853e-117
"39","APOE",1.3504681985469e-121,3.35853518688857,0.863,0.426,3.35186206879341e-117
"40","PECAM1",1.04528275345891e-118,2.96402310805584,0.759,0.096,2.59439179408502e-114
"41","GNB2L1",2.34962237772204e-117,2.05570414380427,0.869,0.181,5.8317627415061e-113
"42","CNDP2",5.48603323785591e-117,2.95968658379821,0.738,0.073,1.36163344963584e-112
"43","LIMK2",3.98192690506252e-116,-3.21373223639283,0.357,0.714,9.88314257836517e-112
"44","LOC102140649",8.19792147702762e-116,3.40315051700457,0.708,0.05,2.03472411059826e-111
"45","NPC2",2.85468089415569e-115,2.57705961655551,0.778,0.128,7.08531797929442e-111
"46","BCL2A1",3.8516049959141e-115,-2.53052487867398,0.567,0.803,9.5596835998588e-111
"47","CD86",1.24068470552198e-114,4.07099501009068,0.67,0.027,3.07937943910554e-110
"48","LOC102118223",1.25792181083246e-114,-4.63164095532187,0.206,0.584,3.12216193448616e-110
"49","TXNIP",1.35430446549958e-114,-3.13628006876433,0.503,0.776,3.36138368336996e-110
"50","PEA15",2.80497604560123e-113,3.2868501909953,0.699,0.05,6.96195054518225e-109
"51","CALR",5.08593960092833e-112,2.97481572858568,0.713,0.059,1.26233020895041e-107
"52","FOSB",9.64402983001886e-112,2.24879019715539,0.809,0.162,2.39364820381068e-107
"53","HSP90B1",1.74030918490173e-111,1.85269727518865,0.85,0.176,4.3194473969261e-107
"54","LOC102122749",2.75011818868612e-111,-3.16636750490037,0.215,0.6,6.82579334431896e-107
"55","C7H15orf48",2.89937987583334e-111,-2.90581301285638,0.536,0.789,7.19626085181835e-107
"56","HSP90AB1",5.13725394035525e-111,2.04188366608894,0.838,0.172,1.27506642799617e-106
"57","CAPG",1.1907597641381e-110,2.19473034286424,0.818,0.183,2.95546573459076e-106
"58","CTSC",1.44701815169333e-109,3.76868653328683,0.677,0.055,3.59149905250284e-105
"59","TMSB4X",6.44061236877656e-109,1.26718778914109,0.983,0.739,1.59855998993034e-104
"60","IRF1",8.54857356840458e-108,-3.0315576627728,0.444,0.732,2.12175595967802e-103
"61","CCRL2",1.11645452350509e-105,-4.77410896675712,0.091,0.403,2.77104012733964e-101
"62","RPS5",1.58855727605448e-105,1.87223125664248,0.869,0.243,3.94279915916721e-101
"63","LOC102122418",3.79371056298654e-105,1.76656435335791,0.875,0.281,9.41598961733259e-101
"64","RPL13",5.27491056794716e-105,1.79770330777343,0.893,0.281,1.30923280296449e-100
"65","LIPA",9.73491745303546e-105,3.35505842111152,0.676,0.064,2.4162065118434e-100
"66","GPR183",4.39025983564133e-102,3.23064166641796,0.688,0.085,1.08966249120618e-97
"67","PDIA3",7.05388999958195e-102,2.03143334370959,0.812,0.169,1.75077549789624e-97
"68","KLF6",4.64387966579122e-101,1.92643579763447,0.864,0.263,1.15261093304938e-96
"69","COTL1",5.48960561504607e-101,1.92809853063743,0.821,0.183,1.36252011365443e-96
"70","RPS19",2.43679367674167e-100,1.71877129839214,0.863,0.22,6.04812190567283e-96
"71","LOC102122855",5.03618009210855e-100,1.64686607812355,0.884,0.254,1.24997989886134e-95
"72","TNFSF13",1.82722000680508e-98,3.36417200917618,0.64,0.043,4.5351600568902e-94
"73","RPL4",2.81032965384984e-98,1.65405995523546,0.909,0.309,6.9752382008553e-94
"74","RPL13A",8.05851112925887e-98,1.81522540681722,0.839,0.201,2.00012246228205e-93
"75","INSIG1",5.07249582642735e-97,3.68970871280861,0.637,0.055,1.25899346411927e-92
"76","CD63",1.10534773474118e-96,1.81257379515949,0.875,0.368,2.7434730776276e-92
"77","PRCP",1.75792985602936e-96,3.82967932522454,0.604,0.023,4.36318190266486e-92
"78","RPL30",1.97882220897181e-96,1.8300913510194,0.832,0.206,4.91143672266803e-92
"79","TAP1",7.68308370636386e-96,-2.23885421662367,0.624,0.785,1.90694137591951e-91
"80","FAM26F",1.66048691584094e-95,3.46690621516878,0.642,0.064,4.12132852511722e-91
"81","PLXDC2",2.60938901905748e-95,3.93871464139329,0.612,0.039,6.47650354530067e-91
"82","CANX",2.73594879206887e-95,1.64048643728002,0.845,0.222,6.79062490191492e-91
"83","GPNMB",2.05133354969889e-94,3.79218006131582,0.645,0.092,5.09140987035265e-90
"84","GPX4",3.31189036302369e-94,2.32098582480652,0.721,0.112,8.22011188102479e-90
